#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:L_align_adj" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:L_align_adj" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:L_align_adj">
#                <taxonset id="TaxonSet.L_align_adj" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:L_align_adj" name="distribution" x="@birthRate.t:L_align_adj">
#            <Uniform id="Uniform.1" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="GammaShapePrior.s:L_align_adj" name="distribution">
#            <parameter id="gammaShape.s:L_align_adj" name="x">1.0</parameter>
#            <Exponential id="Exponential.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="mean">1.0</parameter>
#            </Exponential>
#        </prior>
#        <prior id="PropInvariantPrior.s:L_align_adj" name="distribution">
#            <parameter id="proportionInvariant.s:L_align_adj" lower="0.0" name="x" upper="1.0">0.01</parameter>
#            <Uniform id="Uniform.2" name="distr"/>
#        </prior>
#        <prior id="ucldStdevPrior.c:L_align_adj" name="distribution">
#            <parameter id="ucldStdev.c:L_align_adj" lower="0.0" name="x">0.1</parameter>
#            <Gamma id="Gamma.0" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@L_align_adj" id="treeLikelihood.L_align_adj" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:L_align_adj">
#            <siteModel gammaCategoryCount="10" id="SiteModel.s:L_align_adj" proportionInvariant="@proportionInvariant.s:L_align_adj" shape="@gammaShape.s:L_align_adj" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:L_align_adj" name="mutationRate">1.0</parameter>
#                <substModel id="Blosum62.s:L_align_adj" spec="beast.evolution.substitutionmodel.Blosum62"/>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:L_align_adj" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:L_align_adj">
#                <LogNormal S="@ucldStdev.c:L_align_adj" id="LogNormalDistributionModel.c:L_align_adj" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.1" lower="0.0" name="M" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="122" id="rateCategories.c:L_align_adj" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:L_align_adj" name="clock.rate">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	proportionInvariant	gammaShape	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation
0	-417240.11662600125	-417229.036938533	-11.079687468230476	-417229.036938533	2.4547220092239983	-10.89905161335128	1.0	1.0	0.01	1.0	0.1	1.029720976542104	0.008898020762532382	0.09503848276896057
1000	-274188.1459252026	-274093.3519369454	-94.79398825720787	-274093.3519369454	8.70714896736104	-92.49371721338852	0.5891787560216905	1.0	0.010863774090581431	1.0	0.5957108444604379	0.7879788799006199	0.28546826242024	0.563619158170071
2000	-255901.16286556018	-255805.46515460772	-95.69771095246668	-255805.46515460772	8.10168871433519	-92.34408111419238	0.581424460154491	1.0	0.010863774090581431	1.0	0.9213191195347799	0.6792610843571911	0.7035708680196479	0.9018269990514781
3000	-248471.31208722477	-248386.32422213402	-84.98786509075973	-248386.32422213402	6.3622698882613555	-81.49748861513409	0.5604734700557675	1.0	0.010863774090581431	1.0	0.9653367341741965	0.6800849404796486	0.8424234954859723	0.9910028788626609
4000	-234191.2458670263	-234128.47831935837	-62.767547667930096	-234128.47831935837	3.9245757065195725	-59.71170375457091	0.9547825460944706	1.0	0.014690160764910542	1.0	0.8266571784398734	0.7434563654900779	0.7003671594321851	0.8879021237166943
5000	-222193.23291341687	-222123.5221027533	-69.71081066355495	-222123.5221027533	5.140282588588303	-66.2459229364757	0.8788839510049368	1.0	0.018461362496790142	1.0	0.9571078226325981	0.666204299621741	1.0052542449377881	1.0760167775030014
6000	-217955.44056091257	-217887.067279392	-68.37328152055382	-217887.067279392	4.871245902842009	-64.90839379347456	1.047355857662855	1.0	0.02874299142569009	1.0	0.9571078226325981	0.6935857334417624	0.9364080342314793	1.0677651683862988
7000	-213900.41768750947	-213826.50838531033	-73.90930219913369	-213826.50838531033	5.099529461284374	-70.1432703253883	0.7578868885053816	1.0	0.02874299142569009	1.0	1.0549937972574972	0.6247596915667989	1.1523175007410866	1.2244132100196965
8000	-211292.75605595918	-211219.23092752666	-73.52512843252842	-211219.23092752666	5.403239268193791	-69.75909655878303	0.9047157648374852	1.0	0.02874299142569009	1.0	1.0549937972574972	0.6646232554242849	1.1847648538303794	1.2124708510985556
9000	-209718.46491314977	-209647.06266313264	-71.40225001713101	-209647.06266313264	5.119275243339685	-67.95194360388349	0.9332686648103262	1.0	0.02874299142569009	1.0	0.9524052419621094	0.7316670857311959	0.9647668860266897	1.053962310031607
10000	-206477.93383092422	-206417.57893591095	-60.354895013266166	-206417.57893591095	3.8358537941352355	-56.90458860001864	0.9844504917062569	1.0	0.023831748963463847	1.0	0.9524052419621094	0.7289386274118275	0.9487410556281739	1.0357430936282694
11000	-203924.29654084137	-203859.25513462472	-65.04140621665158	-203859.25513462472	4.192023392787327	-61.66629043802195	0.9792609564020366	1.0	0.023831748963463847	1.0	0.9282137173384801	0.749250732670821	0.6757667818013816	0.908122715017721
12000	-202519.3050131027	-202459.8355740822	-59.46943902051468	-202459.8355740822	3.7545154257887714	-56.201789164807614	0.9182458882176012	1.0	0.023831748963463847	1.0	0.8938127104847863	0.8228820181596046	0.6264734908671207	0.8599322298062181
